type,sourceName,sourceVersion,productType,device,Date,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKAverageMETs,HKIndoorWorkout,HKWeatherHumidity,HKWeatherTemperature,HKTimeZone
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-08 00:08:38 +0000,2022-02-08 01:29:15 +0000,TraditionalStrengthTraining,4836.514058947563,sec,818.013 kcal,,,,6.34034 kcal/hr·kg,0,5700 %,48.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-09 01:00:11 +0000,2022-02-09 02:45:43 +0000,TraditionalStrengthTraining,6332.464475035667,sec,646.401 kcal,,,,3.25029 kcal/hr·kg,0,7000 %,42.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-10 18:03:14 +0000,2022-02-10 18:55:30 +0000,TraditionalStrengthTraining,3136.2148579359055,sec,553.037 kcal,,,,7.04765 kcal/hr·kg,0,9300 %,37.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-16 01:14:22 +0000,2022-02-16 02:38:44 +0000,TraditionalStrengthTraining,5061.8236219882965,sec,582.402 kcal,,,,4.04814 kcal/hr·kg,0,5700 %,44.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-17 17:57:58 +0000,2022-02-17 19:28:30 +0000,TraditionalStrengthTraining,5432.7631059885025,sec,989.981 kcal,,,,7.28825 kcal/hr·kg,0,7100 %,39.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-24 17:49:04 +0000,2022-02-24 18:49:35 +0000,TraditionalStrengthTraining,3630.6459000110626,sec,550.087 kcal,,,,5.91164 kcal/hr·kg,0,6200 %,23 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-26 23:55:05 +0000,2022-02-27 00:45:38 +0000,TraditionalStrengthTraining,3032.9696069955826,sec,449.947 kcal,,,,5.64766 kcal/hr·kg,0,3500 %,42.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-03-02 00:34:04 +0000,2022-03-02 01:35:03 +0000,TraditionalStrengthTraining,3658.3290100097656,sec,606.463 kcal,,,,6.57266 kcal/hr·kg,0,5800 %,57.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-03-02 23:55:42 +0000,2022-03-03 00:53:25 +0000,TraditionalStrengthTraining,3463.269557952881,sec,460.902 kcal,,,,4.72956 kcal/hr·kg,0,9200 %,46.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-03-14 22:33:51 +0000,2022-03-14 23:59:50 +0000,TraditionalStrengthTraining,5159.275757908821,sec,931.146 kcal,,,,7.4582 kcal/hr·kg,0,6000 %,50 degF,America/Los_Angeles
